sample_idx,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
1759,1.0890489999999999,-1.358538,1.5967709999999999,-0.90445200000000003,1.1614469999999999,-0.46482299999999999,0.12967999999999999,0.23649200000000001,-0.194604,0.040841000000000002,0.15079600000000001,-0.55082600000000004,0.57072299999999998,-0.73722699999999997,-0.25781500000000002,0.30198700000000001,-0.12579299999999999,6.7106779999999997,27.331817999999998,-4.1389060000000004,27.212700000000002
1760,1.0937380000000001,-1.362317,1.597556,-0.90150699999999995,1.149967,-0.453177,0.114609,0.233874,-0.18675,0.035604999999999998,0.15393799999999999,-0.56548699999999996,0.59061900000000001,-0.77702099999999996,0.78091100000000002,-2.3186930000000001,0.663933,0.33156000000000002,6.2017179999999996,15.437849999999999,-22.749544
1761,1.098403,-1.3660589999999999,1.5982229999999999,-0.89848399999999995,1.1383300000000001,-0.44142700000000001,0.099509,0.23300100000000001,-0.18587799999999999,0.028274000000000001,0.15393799999999999,-0.59690299999999996,0.60423300000000002,-0.73827399999999999,0.23319200000000001,1.2349870000000001,-0.15862000000000001,-7.1184320000000003,-17.767416999999998,28.192440999999999,4.3280019999999997
1762,1.103043,-1.369758,1.5987499999999999,-0.89535100000000001,1.12652,-0.429616,0.084379999999999997,0.227765,-0.18326000000000001,0.023037999999999999,0.156032,-0.59376099999999998,0.60842200000000002,-0.76026499999999997,0.78059100000000003,3.197085,-0.019413,-5.6333700000000002,-8.3079210000000003,27.949178,12.954179
1763,1.107675,-1.3734,1.5991919999999999,-0.89213600000000004,1.114571,-0.417717,0.069214999999999999,0.22951099999999999,-0.17976900000000001,0.019897000000000001,0.168599,-0.58538299999999999,0.598997,-0.76026499999999997,-1.829553,1.2738670000000001,0.106683,4.6769290000000003,12.860272,10.52153,-16.200192000000001
1764,1.1122810000000001,-1.3770009999999999,1.5995539999999999,-0.888822,1.102436,-0.40573799999999999,0.054068999999999999,0.230383,-0.17802399999999999,0.015708,0.16755200000000001,-0.61051599999999995,0.58224200000000004,-0.74874600000000002,0.19081200000000001,-1.2857320000000001,-1.0124470000000001,0.015871,11.684843000000001,-27.142492000000001,18.360007
1765,1.1168750000000001,-1.3805369999999999,1.5998079999999999,-0.88542399999999999,1.0901430000000001,-0.393679,0.038875,0.22863800000000001,-0.17366000000000001,0.011519,0.175929,-0.62098799999999998,0.60632699999999995,-0.77283199999999996,-3.286009,0.005326,0.79407099999999997,5.1495189999999997,-13.137501,-5.9235600000000002,-26.904793000000002
1766,1.1214489999999999,-1.384028,1.5999650000000001,-0.88193699999999997,1.0777110000000001,-0.38150800000000001,0.023689000000000002,0.227765,-0.172788,0.004189,0.17697599999999999,-0.64088500000000004,0.62727100000000002,-0.74351,0.24276600000000001,2.0097079999999998,-0.79672600000000005,0.36534299999999997,-17.499842000000001,31.289065999999998,23.565853000000001
1767,1.126009,-1.387483,1.6000080000000001,-0.87835799999999997,1.0651109999999999,-0.36931399999999998,0.0084709999999999994,0.22689300000000001,-0.16755200000000001,0,0.17697599999999999,-0.63774299999999995,0.58852499999999996,-0.78016200000000002,-0.63056100000000004,3.5115020000000001,-3.8999999999999999e-05,-5.3607810000000002,5.72004,-30.205480999999999,-25.411795000000001
1768,1.130536,-1.390876,1.599971,-0.87469300000000005,1.0523670000000001,-0.357016,-0.0067070000000000003,0.22951099999999999,-0.171042,-0.0031419999999999998,0.17907100000000001,-0.638791,0.638791,-0.74351,1.538311,-2.4372880000000001,-0.0020609999999999999,-3.6575299999999999,9.8702509999999997,32.386482999999998,20.832180000000001
